variavel,correlacao,abs_correlacao
is_high_risk,0.821463469603165,0.821463469603165
age,0.7004574932893963,0.7004574932893963
chronic_count,0.6318723227411914,0.6318723227411914
systolic_bp,0.5441060709242921,0.5441060709242921
diastolic_bp,0.37066131284607023,0.37066131284607023
hypertension,0.34674476016112643,0.34674476016112643
annual_medical_cost,0.2997725207504745,0.2997725207504745
mental_health,0.2843543447692007,0.2843543447692007
monthly_premium,0.2743484869902189,0.2743484869902189
annual_premium,0.27432561342956535,0.27432561342956535
visits_last_year,0.26778420122817753,0.26778420122817753
arthritis,0.2624556121984909,0.2624556121984909
medication_count,0.2544451186658696,0.2544451186658696
total_claims_paid,0.24448392495946158,0.24448392495946158
diabetes,0.23713342436371926,0.23713342436371926
